experiment,seed,aupr,auroc,duration_sec
baseline,72,0.7979,0.9156,365
baseline,1,0.8048,0.9169,650
baseline,2,0.7965,0.9141,343
P0_focal_loss,72,0.7579,0.8884,124
P0_focal_loss,1,0.7585,0.8892,122
P0_focal_loss,2,0.7659,0.8938,215
P9_dropedge,72,0.8019,0.9150,316
P9_dropedge,1,0.8040,0.9149,240
P9_dropedge,2,0.8133,0.9176,613
P7_heterophily,72,0.8205,0.9199,608
P7_heterophily,1,0.8227,0.9183,364
P7_heterophily,2,0.8289,0.9201,632
P2_graphmae,72,0.7916,0.9121,254
P2_graphmae,1,0.8032,0.9176,677
P2_graphmae,2,0.8057,0.9169,637
P3_gps_meta,72,FAILED,FAILED,10
P3_gps_meta,1,FAILED,FAILED,9
P3_gps_meta,2,FAILED,FAILED,9
P4_cross_net_attn,72,0.8200,0.9205,0
P4_cross_net_attn,1,0.8098,0.9150,0
P4_cross_net_attn,2,0.8127,0.9174,0
baseline_extra,42,0.8017,0.9145,0
baseline_extra,99,0.8087,0.9186,0
